name	pop	cohort	sex	sample	group	famid
HG01920	AMR	UW_ONT	M	HG01920	control	HG01920
HG03858	SAS	UW_ONT	F	HG03858	control	HG03858
HG04202	SAS	UW_ONT	F	HG04202	control	HG04202
HG00236	EUR	UW_ONT	F	HG00236	control	HG00236
HG02808	AFR	UW_ONT	F	HG02808	control	HG02808
HG02380	EAS	UW_ONT	M	HG02380	control	HG02380
HG03538	AFR	UW_ONT	M	HG03538	control	HG03538
HG03118	AFR	UW_ONT	M	HG03118	control	HG03118
HG00115	EUR	UW_ONT	M	HG00115	control	HG00115
HG02394	EAS	UW_ONT	M	HG02394	control	HG02394
HG01403	AMR	UW_ONT	F	HG01403	control	HG01403
HG03376	AFR	UW_ONT	M	HG03376	control	HG03376
HG01802	EAS	UW_ONT	F	HG01802	control	HG01802
HG02973	AFR	UW_ONT	M	HG02973	control	HG02973
HG02464	AFR	UW_ONT	M	HG02464	control	HG02464
HG00246	EUR	UW_ONT	M	HG00246	control	HG00246
HG03995	SAS	UW_ONT	F	HG03995	control	HG03995
HG03575	AFR	UW_ONT	F	HG03575	control	HG03575
HG02190	EAS	UW_ONT	F	HG02190	control	HG02190
HG01893	AMR	UW_ONT	F	HG01893	control	HG01893
HG00154	EUR	UW_ONT	F	HG00154	control	HG00154
HG02798	AFR	UW_ONT	M	HG02798	control	HG02798
HG01686	EUR	UW_ONT	M	HG01686	control	HG01686
HG02142	EAS	UW_ONT	F	HG02142	control	HG02142
HG02024	EAS	UW_ONT	F	HG02024	control	HG02024
HG02086	EAS	UW_ONT	F	HG02086	control	HG02086
HG00355	EUR	UW_ONT	F	HG00355	control	HG00355
GM18870	AFR	UW_ONT	F	GM18870	control	GM18870
HG00326	EUR	UW_ONT	F	HG00326	control	HG00326
HG04235	SAS	UW_ONT	M	HG04235	control	HG04235
HG03693	SAS	UW_ONT	M	HG03693	control	HG03693
HG00556	EAS	UW_ONT	M	HG00556	control	HG00556
HG00285	EUR	UW_ONT	F	HG00285	control	HG00285
HG00256	EUR	UW_ONT	M	HG00256	control	HG00256
HG01857	EAS	UW_ONT	F	HG01857	control	HG01857
HG03224	AFR	UW_ONT	M	HG03224	control	HG03224
HG02861	AFR	UW_ONT	F	HG02861	control	HG02861
HG03743	SAS	UW_ONT	M	HG03743	control	HG03743
HG01864	EAS	UW_ONT	M	HG01864	control	HG01864
HG03572	AFR	UW_ONT	F	HG03572	control	HG03572
HG01323	AMR	UW_ONT	F	HG01323	control	HG01323
HG02860	AFR	UW_ONT	M	HG02860	control	HG02860
HG02624	AFR	UW_ONT	F	HG02624	control	HG02624
HG02351	EAS	UW_ONT	M	HG02351	control	HG02351
HG01405	AMR	UW_ONT	M	HG01405	control	HG01405
HG01804	EAS	UW_ONT	F	HG01804	control	HG01804
HG00237	EUR	UW_ONT	F	HG00237	control	HG00237
HG02623	AFR	UW_ONT	M	HG02623	control	HG02623
HG02497	AFR	UW_ONT	F	HG02497	control	HG02497
HG02379	EAS	UW_ONT	M	HG02379	control	HG02379
HG02232	EUR	UW_ONT	F	HG02232	control	HG02232
HG01811	EAS	UW_ONT	M	HG01811	control	HG01811
HG00109	EUR	UW_ONT	M	HG00109	control	HG00109
HG03378	AFR	UW_ONT	F	HG03378	control	HG03378
HG03460	AFR	UW_ONT	M	HG03460	control	HG03460
HG03902	SAS	UW_ONT	M	HG03902	control	HG03902
HG03297	AFR	UW_ONT	F	HG03297	control	HG03297
HG03401	AFR	UW_ONT	F	HG03401	control	HG03401
HG00598	EAS	UW_ONT	M	HG00598	control	HG00598
HG03911	SAS	UW_ONT	M	HG03911	control	HG03911
HG02113	EAS	UW_ONT	F	HG02113	control	HG02113
HG04033	SAS	UW_ONT	M	HG04033	control	HG04033
HG01443	AMR	UW_ONT	M	HG01443	control	HG01443
HG00119	EUR	UW_ONT	M	HG00119	control	HG00119
HG01842	EAS	UW_ONT	M	HG01842	control	HG01842
HG03857	SAS	UW_ONT	F	HG03857	control	HG03857
GM19788	AMR	UW_ONT	F	GM19788	control	GM19788
HG04056	SAS	UW_ONT	M	HG04056	control	HG04056
HG00257	EUR	UW_ONT	F	HG00257	control	HG00257
GM18507	AFR	UW_ONT	M	GM18507	control	GM18507
HG03826	SAS	UW_ONT	F	HG03826	control	HG03826
HG03745	SAS	UW_ONT	M	HG03745	control	HG03745
HG03064	AFR	UW_ONT	F	HG03064	control	HG03064
HG04176	SAS	UW_ONT	M	HG04176	control	HG04176
HG02181	EAS	UW_ONT	F	HG02181	control	HG02181
HG02977	AFR	UW_ONT	M	HG02977	control	HG02977
HG02321	AFR	UW_ONT	F	HG02321	control	HG02321
HG04001	SAS	UW_ONT	F	HG04001	control	HG04001
HG04026	SAS	UW_ONT	F	HG04026	control	HG04026
HG02571	AFR	UW_ONT	F	HG02571	control	HG02571
HG03692	SAS	UW_ONT	F	HG03692	control	HG03692
HG03123	AFR	UW_ONT	F	HG03123	control	HG03123
HG01844	EAS	UW_ONT	M	HG01844	control	HG01844
HG01303	AMR	UW_ONT	F	HG01303	control	HG01303
HG01868	EAS	UW_ONT	F	HG01868	control	HG01868
HG01200	AMR	UW_ONT	M	HG01200	control	HG01200
HG01808	EAS	UW_ONT	F	HG01808	control	HG01808
HG01077	AMR	UW_ONT	F	HG01077	control	HG01077
HG02780	SAS	UW_ONT	M	HG02780	control	HG02780
HG03629	SAS	UW_ONT	M	HG03629	control	HG03629
HG01334	EUR	UW_ONT	M	HG01334	control	HG01334
GM19438	AFR	UW_ONT	F	GM19438	control	GM19438
GM19440	AFR	UW_ONT	F	GM19440	control	GM19440
HG03887	SAS	UW_ONT	M	HG03887	control	HG03887
HG04214	SAS	UW_ONT	F	HG04214	control	HG04214
HG02816	AFR	UW_ONT	M	HG02816	control	HG02816
HG02425	AMR	UW_ONT	F	HG02425	control	HG02425
HG03910	SAS	UW_ONT	F	HG03910	control	HG03910
HG04019	SAS	UW_ONT	M	HG04019	control	HG04019
HG04239	SAS	UW_ONT	M	HG04239	control	HG04239
HG02613	AFR	UW_ONT	M	HG02613	control	HG02613
HG02675	AFR	UW_ONT	M	HG02675	control	HG02675
HG02439	AFR	UW_ONT	M	HG02439	control	HG02439
GM19467	AFR	UW_ONT	F	GM19467	control	GM19467
HG03066	AFR	UW_ONT	M	HG03066	control	HG03066
HG02236	EUR	UW_ONT	M	HG02236	control	HG02236
HG01173	AMR	UW_ONT	M	HG01173	control	HG01173
HG02151	EAS	UW_ONT	F	HG02151	control	HG02151
HG01031	EAS	UW_ONT	M	HG01031	control	HG01031
HG02759	AFR	UW_ONT	M	HG02759	control	HG02759
HG03436	AFR	UW_ONT	M	HG03436	control	HG03436
HG01113	AMR	UW_ONT	F	HG01113	control	HG01113
HG02353	EAS	UW_ONT	M	HG02353	control	HG02353
HG03694	SAS	UW_ONT	M	HG03694	control	HG03694
HG02179	EAS	UW_ONT	F	HG02179	control	HG02179
HG03464	AFR	UW_ONT	F	HG03464	control	HG03464
HG00581	EAS	UW_ONT	F	HG00581	control	HG00581
HG01461	AMR	UW_ONT	M	HG01461	control	HG01461
HG03663	SAS	UW_ONT	M	HG03663	control	HG03663
HG00160	EUR	UW_ONT	M	HG00160	control	HG00160
HG03072	AFR	UW_ONT	M	HG03072	control	HG03072
HG03514	AFR	UW_ONT	F	HG03514	control	HG03514
HG01485	AMR	UW_ONT	M	HG01485	control	HG01485
HG00102	EUR	UW_ONT	F	HG00102	control	HG00102
HG03433	AFR	UW_ONT	M	HG03433	control	HG03433
HG03352	AFR	UW_ONT	M	HG03352	control	HG03352
HG03099	AFR	UW_ONT	F	HG03099	control	HG03099
HG00240	EUR	UW_ONT	F	HG00240	control	HG00240
HG00533	EAS	UW_ONT	M	HG00533	control	HG00533
HG02820	AFR	UW_ONT	F	HG02820	control	HG02820
HG03212	AFR	UW_ONT	F	HG03212	control	HG03212
HG02646	AFR	UW_ONT	F	HG02646	control	HG02646
HG02491	SAS	UW_ONT	F	HG02491	control	HG02491
HG03298	AFR	UW_ONT	M	HG03298	control	HG03298
HG04107	SAS	UW_ONT	M	HG04107	control	HG04107
HG00112	EUR	UW_ONT	M	HG00112	control	HG00112
HG00693	EAS	UW_ONT	F	HG00693	control	HG00693
HG02339	AFR	UW_ONT	F	HG02339	control	HG02339
HG02645	AFR	UW_ONT	M	HG02645	control	HG02645
HG00250	EUR	UW_ONT	F	HG00250	control	HG00250
HG01204	AMR	UW_ONT	M	HG01204	control	HG01204
GM19446	AFR	UW_ONT	F	GM19446	control	GM19446
HG01271	AMR	UW_ONT	M	HG01271	control	HG01271
HG01064	AMR	UW_ONT	F	HG01064	control	HG01064
HG00623	EAS	UW_ONT	F	HG00623	control	HG00623
HG00674	EAS	UW_ONT	M	HG00674	control	HG00674
HG01088	AMR	UW_ONT	M	HG01088	control	HG01088
HG03385	AFR	UW_ONT	M	HG03385	control	HG03385
HG00553	AMR	UW_ONT	M	HG00553	control	HG00553
GM19475	AFR	UW_ONT	F	GM19475	control	GM19475
HG00231	EUR	UW_ONT	F	HG00231	control	HG00231
HG02840	AFR	UW_ONT	F	HG02840	control	HG02840
HG01841	EAS	UW_ONT	F	HG01841	control	HG01841
HG02854	AFR	UW_ONT	M	HG02854	control	HG02854
HG03755	SAS	UW_ONT	M	HG03755	control	HG03755
HG02330	AFR	UW_ONT	M	HG02330	control	HG02330
HG03945	SAS	UW_ONT	F	HG03945	control	HG03945
HG00304	EUR	UW_ONT	F	HG00304	control	HG00304
HG03354	AFR	UW_ONT	F	HG03354	control	HG03354
HG02462	AFR	UW_ONT	F	HG02462	control	HG02462
HG02923	AFR	UW_ONT	M	HG02923	control	HG02923
HG00263	EUR	UW_ONT	F	HG00263	control	HG00263
HG02141	EAS	UW_ONT	M	HG02141	control	HG02141
HG00234	EUR	UW_ONT	M	HG00234	control	HG00234
HG02594	AFR	UW_ONT	M	HG02594	control	HG02594
HG02819	AFR	UW_ONT	M	HG02819	control	HG02819
HG00142	EUR	UW_ONT	M	HG00142	control	HG00142
HG00113	EUR	UW_ONT	M	HG00113	control	HG00113
HG01413	AMR	UW_ONT	M	HG01413	control	HG01413
HG02461	AFR	UW_ONT	M	HG02461	control	HG02461
HG02343	AFR	UW_ONT	M	HG02343	control	HG02343
HG04038	SAS	UW_ONT	F	HG04038	control	HG04038
HG03382	AFR	UW_ONT	M	HG03382	control	HG03382
HG03472	AFR	UW_ONT	M	HG03472	control	HG03472
HG00372	EUR	UW_ONT	M	HG00372	control	HG00372
HG02140	EAS	UW_ONT	F	HG02140	control	HG02140
HG03391	AFR	UW_ONT	M	HG03391	control	HG03391
HG03752	SAS	UW_ONT	F	HG03752	control	HG03752
HG03079	AFR	UW_ONT	F	HG03079	control	HG03079
HG03603	SAS	UW_ONT	M	HG03603	control	HG03603
HG04061	SAS	UW_ONT	M	HG04061	control	HG04061
HG04171	SAS	UW_ONT	F	HG04171	control	HG04171
HG03779	SAS	UW_ONT	M	HG03779	control	HG03779
HG03351	AFR	UW_ONT	F	HG03351	control	HG03351
HG00145	EUR	UW_ONT	M	HG00145	control	HG00145
HG01843	EAS	UW_ONT	F	HG01843	control	HG01843
HG00116	EUR	UW_ONT	M	HG00116	control	HG00116
HG03698	SAS	UW_ONT	F	HG03698	control	HG03698
HG03788	SAS	UW_ONT	M	HG03788	control	HG03788
HG03129	AFR	UW_ONT	F	HG03129	control	HG03129
HG02811	AFR	UW_ONT	F	HG02811	control	HG02811
HG01850	EAS	UW_ONT	F	HG01850	control	HG01850
HG01867	EAS	UW_ONT	M	HG01867	control	HG01867
HG03897	SAS	UW_ONT	F	HG03897	control	HG03897
HG02887	AFR	UW_ONT	M	HG02887	control	HG02887
HG01326	AMR	UW_ONT	F	HG01326	control	HG01326
HG02810	AFR	UW_ONT	M	HG02810	control	HG02810
HG02301	AMR	UW_ONT	F	HG02301	control	HG02301
HG03920	SAS	UW_ONT	M	HG03920	control	HG03920
HG01393	AMR	UW_ONT	F	HG01393	control	HG01393
HG03157	AFR	UW_ONT	M	HG03157	control	HG03157
HG00155	EUR	UW_ONT	M	HG00155	control	HG00155
HG03667	SAS	UW_ONT	M	HG03667	control	HG03667
HG03757	SAS	UW_ONT	F	HG03757	control	HG03757
HG02090	AMR	UW_ONT	M	HG02090	control	HG02090
HG01874	EAS	UW_ONT	F	HG01874	control	HG01874
HG01251	AMR	UW_ONT	F	HG01251	control	HG01251
HG03166	AFR	UW_ONT	M	HG03166	control	HG03166
HG00978	EAS	UW_ONT	F	HG00978	control	HG00978
HG02230	EUR	UW_ONT	F	HG02230	control	HG02230
HG04094	SAS	UW_ONT	M	HG04094	control	HG04094
HG03437	AFR	UW_ONT	F	HG03437	control	HG03437
HG01607	EUR	UW_ONT	F	HG01607	control	HG01607
HG00264	EUR	UW_ONT	M	HG00264	control	HG00264
HG03866	SAS	UW_ONT	M	HG03866	control	HG03866
HG02188	EAS	UW_ONT	F	HG02188	control	HG02188
HG03875	SAS	UW_ONT	M	HG03875	control	HG03875
HG04211	SAS	UW_ONT	M	HG04211	control	HG04211
HG00729	EAS	UW_ONT	F	HG00729	control	HG00729
HG03045	AFR	UW_ONT	M	HG03045	control	HG03045
HG04189	SAS	UW_ONT	F	HG04189	control	HG04189
HG01970	AMR	UW_ONT	M	HG01970	control	HG01970
HG02187	EAS	UW_ONT	F	HG02187	control	HG02187
HG00337	EUR	UW_ONT	F	HG00337	control	HG00337
GM19448	AFR	UW_ONT	M	GM19448	control	GM19448
HG01845	EAS	UW_ONT	F	HG01845	control	HG01845
HG00245	EUR	UW_ONT	F	HG00245	control	HG00245
HG01511	EUR	UW_ONT	F	HG01511	control	HG01511
GM19430	AFR	UW_ONT	M	GM19430	control	GM19430
HG00238	EUR	UW_ONT	F	HG00238	control	HG00238
HG01164	AMR	UW_ONT	M	HG01164	control	HG01164
HG01852	EAS	UW_ONT	M	HG01852	control	HG01852
HG01869	EAS	UW_ONT	F	HG01869	control	HG01869
HG03953	SAS	UW_ONT	M	HG03953	control	HG03953
HG00318	EUR	UW_ONT	F	HG00318	control	HG00318
HG01061	AMR	UW_ONT	F	HG01061	control	HG01061
HG02891	AFR	UW_ONT	F	HG02891	control	HG02891
HG01669	EUR	UW_ONT	M	HG01669	control	HG01669
HG00277	EUR	UW_ONT	M	HG00277	control	HG00277
HG02570	AFR	UW_ONT	M	HG02570	control	HG02570
HG02334	AFR	UW_ONT	M	HG02334	control	HG02334
HG03479	AFR	UW_ONT	F	HG03479	control	HG03479
HG03989	SAS	UW_ONT	F	HG03989	control	HG03989
HG01816	EAS	UW_ONT	M	HG01816	control	HG01816
HG03398	AFR	UW_ONT	F	HG03398	control	HG03398
HG02348	AMR	UW_ONT	F	HG02348	control	HG02348
HG01260	AMR	UW_ONT	F	HG01260	control	HG01260
HG01277	AMR	UW_ONT	M	HG01277	control	HG01277
HG02772	AFR	UW_ONT	F	HG02772	control	HG02772
HG01342	AMR	UW_ONT	F	HG01342	control	HG01342
HG02215	EUR	UW_ONT	F	HG02215	control	HG02215
HG03160	AFR	UW_ONT	M	HG03160	control	HG03160
HG01092	AMR	UW_ONT	F	HG01092	control	HG01092
HG03611	SAS	UW_ONT	F	HG03611	control	HG03611
HG02465	AFR	UW_ONT	F	HG02465	control	HG02465
HG02026	EAS	UW_ONT	M	HG02026	control	HG02026
HG02479	AFR	UW_ONT	F	HG02479	control	HG02479
HG03787	SAS	UW_ONT	F	HG03787	control	HG03787
HG03367	AFR	UW_ONT	M	HG03367	control	HG03367
HG02088	EAS	UW_ONT	M	HG02088	control	HG02088
HG02549	AFR	UW_ONT	F	HG02549	control	HG02549
HG03196	AFR	UW_ONT	M	HG03196	control	HG03196
HG03720	SAS	UW_ONT	M	HG03720	control	HG03720
HG00108	EUR	UW_ONT	M	HG00108	control	HG00108
HG03557	AFR	UW_ONT	F	HG03557	control	HG03557
HG02025	EAS	UW_ONT	F	HG02025	control	HG02025
HG04212	SAS	UW_ONT	F	HG04212	control	HG04212
HG02981	AFR	UW_ONT	M	HG02981	control	HG02981
HG01063	AMR	UW_ONT	M	HG01063	control	HG01063
HG01861	EAS	UW_ONT	M	HG01861	control	HG01861
HG01878	EAS	UW_ONT	F	HG01878	control	HG01878
HG03084	AFR	UW_ONT	M	HG03084	control	HG03084
HG03616	SAS	UW_ONT	F	HG03616	control	HG03616
HG01402	AMR	UW_ONT	M	HG01402	control	HG01402
HG03445	AFR	UW_ONT	M	HG03445	control	HG03445
HG02471	AFR	UW_ONT	F	HG02471	control	HG02471
HG01486	AMR	UW_ONT	F	HG01486	control	HG01486
HG02541	AFR	UW_ONT	M	HG02541	control	HG02541
HG02150	AMR	UW_ONT	M	HG02150	control	HG02150
HG02220	EUR	UW_ONT	F	HG02220	control	HG02220
HG04002	SAS	UW_ONT	M	HG04002	control	HG04002
HG03815	SAS	UW_ONT	M	HG03815	control	HG03815
HG02555	AFR	UW_ONT	F	HG02555	control	HG02555
HG02470	AFR	UW_ONT	M	HG02470	control	HG02470
HG02304	AMR	UW_ONT	M	HG02304	control	HG02304
HG02484	AFR	UW_ONT	M	HG02484	control	HG02484
HG01849	EAS	UW_ONT	M	HG01849	control	HG01849
HG01515	EUR	UW_ONT	M	HG01515	control	HG01515
HG00259	EUR	UW_ONT	F	HG00259	control	HG00259
HG01522	EUR	UW_ONT	F	HG01522	control	HG01522
HG01190	AMR	UW_ONT	M	HG01190	control	HG01190
HG00100	EUR	IB_ONT	F	HG00100	control	HG00100
HG00111	EUR	IB_ONT	F	HG00111	control	HG00111
HG00114	EUR	IB_ONT	M	HG00114	control	HG00114
HG00117	EUR	IB_ONT	M	HG00117	control	HG00117
HG00120	EUR	IB_ONT	F	HG00120	control	HG00120
HG00124	EUR	IB_ONT	F	HG00124	control	HG00124
HG00125	EUR	IB_ONT	F	HG00125	control	HG00125
HG00129	EUR	IB_ONT	M	HG00129	control	HG00129
HG00130	EUR	IB_ONT	F	HG00130	control	HG00130
HG00131	EUR	IB_ONT	M	HG00131	control	HG00131
HG00139	EUR	IB_ONT	M	HG00139	control	HG00139
HG00141	EUR	IB_ONT	M	HG00141	control	HG00141
HG00148	EUR	IB_ONT	M	HG00148	control	HG00148
HG00149	EUR	IB_ONT	M	HG00149	control	HG00149
HG00152	EUR	IB_ONT	M	HG00152	control	HG00152
HG00158	EUR	IB_ONT	F	HG00158	control	HG00158
HG00159	EUR	IB_ONT	M	HG00159	control	HG00159
HG00173	EUR	IB_ONT	F	HG00173	control	HG00173
HG00242	EUR	IB_ONT	M	HG00242	control	HG00242
HG00243	EUR	IB_ONT	M	HG00243	control	HG00243
HG00247	EUR	IB_ONT	F	HG00247	control	HG00247
HG00252	EUR	IB_ONT	M	HG00252	control	HG00252
HG00254	EUR	IB_ONT	F	HG00254	control	HG00254
HG00255	EUR	IB_ONT	F	HG00255	control	HG00255
HG00258	EUR	IB_ONT	F	HG00258	control	HG00258
HG00261	EUR	IB_ONT	F	HG00261	control	HG00261
HG00269	EUR	IB_ONT	F	HG00269	control	HG00269
HG00271	EUR	IB_ONT	M	HG00271	control	HG00271
HG00282	EUR	IB_ONT	F	HG00282	control	HG00282
HG00311	EUR	IB_ONT	M	HG00311	control	HG00311
HG00315	EUR	IB_ONT	F	HG00315	control	HG00315
HG00324	EUR	IB_ONT	F	HG00324	control	HG00324
HG00325	EUR	IB_ONT	M	HG00325	control	HG00325
HG00334	EUR	IB_ONT	F	HG00334	control	HG00334
HG00336	EUR	IB_ONT	M	HG00336	control	HG00336
HG00338	EUR	IB_ONT	M	HG00338	control	HG00338
HG00346	EUR	IB_ONT	F	HG00346	control	HG00346
HG00349	EUR	IB_ONT	F	HG00349	control	HG00349
HG00357	EUR	IB_ONT	F	HG00357	control	HG00357
HG00361	EUR	IB_ONT	F	HG00361	control	HG00361
HG00367	EUR	IB_ONT	F	HG00367	control	HG00367
HG00377	EUR	IB_ONT	F	HG00377	control	HG00377
HG00381	EUR	IB_ONT	F	HG00381	control	HG00381
HG00404	EAS	IB_ONT	F	HG00404	control	HG00404
HG00407	EAS	IB_ONT	F	HG00407	control	HG00407
HG00409	EAS	IB_ONT	M	HG00409	control	HG00409
HG00418	EAS	IB_ONT	M	HG00418	control	HG00418
HG00419	EAS	IB_ONT	F	HG00419	control	HG00419
HG00436	EAS	IB_ONT	M	HG00436	control	HG00436
HG00443	EAS	IB_ONT	F	HG00443	control	HG00443
HG00446	EAS	IB_ONT	F	HG00446	control	HG00446
HG00449	EAS	IB_ONT	F	HG00449	control	HG00449
HG00452	EAS	IB_ONT	F	HG00452	control	HG00452
HG00464	EAS	IB_ONT	F	HG00464	control	HG00464
HG00472	EAS	IB_ONT	M	HG00472	control	HG00472
HG00479	EAS	IB_ONT	F	HG00479	control	HG00479
HG00537	EAS	IB_ONT	F	HG00537	control	HG00537
HG00551	AMR	IB_ONT	F	HG00551	control	HG00551
HG00565	EAS	IB_ONT	M	HG00565	control	HG00565
HG00566	EAS	IB_ONT	F	HG00566	control	HG00566
HG00583	EAS	IB_ONT	M	HG00583	control	HG00583
HG00584	EAS	IB_ONT	F	HG00584	control	HG00584
HG00589	EAS	IB_ONT	M	HG00589	control	HG00589
HG00596	EAS	IB_ONT	F	HG00596	control	HG00596
HG00607	EAS	IB_ONT	M	HG00607	control	HG00607
HG00619	EAS	IB_ONT	M	HG00619	control	HG00619
HG00622	EAS	IB_ONT	M	HG00622	control	HG00622
HG00632	EAS	IB_ONT	F	HG00632	control	HG00632
HG00634	EAS	IB_ONT	M	HG00634	control	HG00634
HG00637	AMR	IB_ONT	M	HG00637	control	HG00637
HG00641	AMR	IB_ONT	F	HG00641	control	HG00641
HG00650	EAS	IB_ONT	M	HG00650	control	HG00650
HG00651	EAS	IB_ONT	F	HG00651	control	HG00651
HG00657	EAS	IB_ONT	F	HG00657	control	HG00657
HG00684	EAS	IB_ONT	F	HG00684	control	HG00684
HG00692	EAS	IB_ONT	M	HG00692	control	HG00692
HG00702	EAS	IB_ONT	F	HG00702	control	HG00702
HG00717	EAS	IB_ONT	F	HG00717	control	HG00717
HG00736	AMR	IB_ONT	M	HG00736	control	HG00736
HG00737	AMR	IB_ONT	F	HG00737	control	HG00737
HG00739	AMR	IB_ONT	M	HG00739	control	HG00739
HG00740	AMR	IB_ONT	F	HG00740	control	HG00740
HG00759	EAS	IB_ONT	F	HG00759	control	HG00759
HG00766	EAS	IB_ONT	F	HG00766	control	HG00766
HG00844	EAS	IB_ONT	M	HG00844	control	HG00844
HG00983	EAS	IB_ONT	M	HG00983	control	HG00983
HG01028	EAS	IB_ONT	M	HG01028	control	HG01028
HG01047	AMR	IB_ONT	M	HG01047	control	HG01047
HG01048	AMR	IB_ONT	M	HG01048	control	HG01048
HG01054	AMR	IB_ONT	M	HG01054	control	HG01054
HG01055	AMR	IB_ONT	F	HG01055	control	HG01055
HG01058	AMR	IB_ONT	F	HG01058	control	HG01058
HG01060	AMR	IB_ONT	M	HG01060	control	HG01060
HG01066	AMR	IB_ONT	M	HG01066	control	HG01066
HG01072	AMR	IB_ONT	M	HG01072	control	HG01072
HG01073	AMR	IB_ONT	F	HG01073	control	HG01073
HG01085	AMR	IB_ONT	M	HG01085	control	HG01085
HG01107	AMR	IB_ONT	M	HG01107	control	HG01107
HG01108	AMR	IB_ONT	F	HG01108	control	HG01108
HG01119	AMR	IB_ONT	F	HG01119	control	HG01119
HG01124	AMR	IB_ONT	M	HG01124	control	HG01124
HG01130	AMR	IB_ONT	M	HG01130	control	HG01130
HG01131	AMR	IB_ONT	F	HG01131	control	HG01131
HG01133	AMR	IB_ONT	M	HG01133	control	HG01133
HG01134	AMR	IB_ONT	F	HG01134	control	HG01134
HG01136	AMR	IB_ONT	M	HG01136	control	HG01136
HG01142	AMR	IB_ONT	M	HG01142	control	HG01142
HG01148	AMR	IB_ONT	M	HG01148	control	HG01148
HG01187	AMR	IB_ONT	M	HG01187	control	HG01187
HG01242	AMR	IB_ONT	F	HG01242	control	HG01242
HG01256	AMR	IB_ONT	M	HG01256	control	HG01256
HG01257	AMR	IB_ONT	F	HG01257	control	HG01257
HG01259	AMR	IB_ONT	M	HG01259	control	HG01259
HG01275	AMR	IB_ONT	F	HG01275	control	HG01275
HG01278	AMR	IB_ONT	F	HG01278	control	HG01278
HG01284	AMR	IB_ONT	F	HG01284	control	HG01284
HG01286	AMR	IB_ONT	M	HG01286	control	HG01286
HG01341	AMR	IB_ONT	M	HG01341	control	HG01341
HG01345	AMR	IB_ONT	F	HG01345	control	HG01345
HG01347	AMR	IB_ONT	M	HG01347	control	HG01347
HG01348	AMR	IB_ONT	F	HG01348	control	HG01348
HG01356	AMR	IB_ONT	M	HG01356	control	HG01356
HG01362	AMR	IB_ONT	M	HG01362	control	HG01362
HG01366	AMR	IB_ONT	F	HG01366	control	HG01366
HG01375	AMR	IB_ONT	F	HG01375	control	HG01375
HG01377	AMR	IB_ONT	M	HG01377	control	HG01377
HG01384	AMR	IB_ONT	F	HG01384	control	HG01384
HG01389	AMR	IB_ONT	M	HG01389	control	HG01389
HG01392	AMR	IB_ONT	M	HG01392	control	HG01392
HG01396	AMR	IB_ONT	F	HG01396	control	HG01396
HG01412	AMR	IB_ONT	M	HG01412	control	HG01412
HG01453	AMR	IB_ONT	F	HG01453	control	HG01453
HG01455	AMR	IB_ONT	M	HG01455	control	HG01455
HG01464	AMR	IB_ONT	M	HG01464	control	HG01464
HG01465	AMR	IB_ONT	F	HG01465	control	HG01465
HG01474	AMR	IB_ONT	F	HG01474	control	HG01474
HG01479	AMR	IB_ONT	M	HG01479	control	HG01479
HG01489	AMR	IB_ONT	F	HG01489	control	HG01489
HG01492	AMR	IB_ONT	F	HG01492	control	HG01492
HG01494	AMR	IB_ONT	M	HG01494	control	HG01494
HG01500	EUR	IB_ONT	M	HG01500	control	HG01500
HG01509	EUR	IB_ONT	M	HG01509	control	HG01509
HG01512	EUR	IB_ONT	M	HG01512	control	HG01512
HG01525	EUR	IB_ONT	F	HG01525	control	HG01525
HG01550	AMR	IB_ONT	M	HG01550	control	HG01550
HG01551	AMR	IB_ONT	F	HG01551	control	HG01551
HG01577	AMR	IB_ONT	M	HG01577	control	HG01577
HG01589	SAS	IB_ONT	M	HG01589	control	HG01589
HG01602	EUR	IB_ONT	F	HG01602	control	HG01602
HG01612	EUR	IB_ONT	F	HG01612	control	HG01612
HG01673	EUR	IB_ONT	F	HG01673	control	HG01673
HG01678	EUR	IB_ONT	M	HG01678	control	HG01678
HG01680	EUR	IB_ONT	M	HG01680	control	HG01680
HG01684	EUR	IB_ONT	F	HG01684	control	HG01684
HG01700	EUR	IB_ONT	M	HG01700	control	HG01700
HG01756	EUR	IB_ONT	M	HG01756	control	HG01756
HG01765	EUR	IB_ONT	M	HG01765	control	HG01765
HG01766	EUR	IB_ONT	F	HG01766	control	HG01766
HG01773	EUR	IB_ONT	F	HG01773	control	HG01773
HG01776	EUR	IB_ONT	F	HG01776	control	HG01776
HG01779	EUR	IB_ONT	F	HG01779	control	HG01779
HG01789	EUR	IB_ONT	M	HG01789	control	HG01789
HG01794	EAS	IB_ONT	F	HG01794	control	HG01794
HG01796	EAS	IB_ONT	F	HG01796	control	HG01796
HG01798	EAS	IB_ONT	F	HG01798	control	HG01798
HG01800	EAS	IB_ONT	F	HG01800	control	HG01800
HG01805	EAS	IB_ONT	F	HG01805	control	HG01805
HG01806	EAS	IB_ONT	F	HG01806	control	HG01806
HG01807	EAS	IB_ONT	F	HG01807	control	HG01807
HG01813	EAS	IB_ONT	F	HG01813	control	HG01813
HG01815	EAS	IB_ONT	F	HG01815	control	HG01815
HG01840	EAS	IB_ONT	M	HG01840	control	HG01840
HG01846	EAS	IB_ONT	M	HG01846	control	HG01846
HG01851	EAS	IB_ONT	F	HG01851	control	HG01851
HG01859	EAS	IB_ONT	F	HG01859	control	HG01859
